objectid,name,country,nat_leg_te,leg_rec,area_ha,gfwid,globalid,shape_Length,shape_Area
508,Batelpo,Brazil,Indigenous Territory,Y,117050,7f603ae6-52ec-4303-9baf-0f7001a91282,{45ADB46D-2649-48A2-B9C6-04F5DDE06D8D},228764.766914225,1224436892.54896
509,Apurinp do IgarapT Mucuim,Brazil,Indigenous Territory,Y,73350.6121,c605a395-51b2-4c8c-94b2-bce666a5c333,{FD115026-340C-49E3-8DAE-31D26821FCE9},129066.368686713,749785508.672513
510,Lago  do Correio,Brazil,Indigenous Territory,Y,13209.7815,32c70cd8-cc6a-4897-a0c1-8f7796afdd01,{6E8A80F3-6717-4BD7-89D8-82476784B59F},58481.2857122681,133440191.926104
511,Guanabara,Brazil,Indigenous Territory,Y,15600,e21777d5-dced-407d-a5af-b6f4e65bb678,{62491A9A-7781-41EB-82FD-D9C38BB814CC},103719.951064635,158165913.616179
512,Ponciano,Brazil,Indigenous Territory,Y,4329,6a6b182f-e3f9-4a79-8c42-1c5a1e00c9fb,{C159B19A-3013-4B0D-A518-B2CB58DA7E21},38820.4754455518,43697052.8062005
513,Prosperidade,Brazil,Indigenous Territory,Y,5572.8552,4950a084-629a-480f-913b-391f007c215b,{5D427892-6CEF-4335-8EF8-9793F70D2F36},50414.6076713787,56200672.7217036
514,Santa Cruz da Nova Alianta,Brazil,Indigenous Territory,Y,5969.2201,91f54362-6dd6-4ae7-ba7b-b36061374b06,{A722C552-70E3-4AA4-8DA4-889A44931312},55023.6344185279,60252546.7108743
515,Mato Preto,Brazil,Indigenous Territory,Y,4230,032e182e-9d1e-4cd1-aea6-43133b449a8c,{ACBDB0CA-662B-481A-836A-0589C4B0BFE7},34455.1976341583,54301117.7888979
516,Sururuß,Brazil,Indigenous Territory,Y,36125,4ab4d38f-7963-4f24-8faf-b512c3875028,{D04E7A1F-59AD-44EC-B025-F34BE6A5240D},123238.133110179,366164303.447668
517,Votouro/Kandoia,Brazil,Indigenous Territory,Y,5977,7dfa689d-ed6e-435d-8f7d-4f078ecb786c,{C4D229F0-1C8F-41EC-8F98-6BD609B6D669},29495.8067287205,42848224.8439882
518,Vista Alegre,Brazil,Indigenous Territory,Y,13206,c10dd0c3-5aad-4649-8aa3-679650b099e8,{805C0E4C-B938-4CE7-84A7-E25728FFAAA8},75857.6074245303,133176210.505539
519,Tapeba,Brazil,Indigenous Territory,Y,5838,f41571ca-d5dc-4b9f-862f-7178f6112c24,{01D7A29D-EE63-4ED3-9178-E344F316EDED},88384.8531619344,57031946.8046029
